ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
63912,Lenny Krayzelburg,M,28.0,187.0,87.0,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
69288,Jason Edward Lezak,M,28.0,193.0,98.0,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
70965,Ryan Steven Lochte,M,20.0,188.0,88.0,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
71467,Steven Lopez,M,25.0,191.0,83.0,United States,USA,2004 Summer,2004,Summer,Athina,Taekwondo,Taekwondo Men's Welterweight,Gold
73021,"Timothy ""Tim"" Mack",M,31.0,187.0,81.0,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Pole Vault,Gold
73175,"Elizabeth ""Beezie"" Madden (Patton-)",F,40.0,168.0,63.0,United States,USA,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
85183,Adam McCright Nelson,M,29.0,183.0,120.0,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Shot Put,Gold
92104,Carly Rae Patterson (-Caldwell),F,16.0,152.0,44.0,United States,USA,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Individual All-Around,Gold
92771,Aaron Wells Peirsol,M,21.0,191.0,91.0,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Backstroke,Gold
92771,Aaron Wells Peirsol,M,21.0,191.0,91.0,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Backstroke,Gold
92771,Aaron Wells Peirsol,M,21.0,191.0,91.0,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
94406,"Michael Fred Phelps, II",M,19.0,193.0,91.0,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
94406,"Michael Fred Phelps, II",M,19.0,193.0,91.0,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Butterfly,Gold
94406,"Michael Fred Phelps, II",M,19.0,193.0,91.0,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Butterfly,Gold
94406,"Michael Fred Phelps, II",M,19.0,193.0,91.0,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Individual Medley,Gold
94406,"Michael Fred Phelps, II",M,19.0,193.0,91.0,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 400 metres Individual Medley,Gold
94406,"Michael Fred Phelps, II",M,19.0,193.0,91.0,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
94469,Dwight D. Phillips,M,26.0,185.0,73.0,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Long Jump,Gold
95092,Carly Piper (-Ryan),F,20.0,187.0,81.0,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
100315,"Kimberly Susan ""Kim"" Rhode (-Harryman)",F,25.0,163.0,82.0,United States,USA,2004 Summer,2004,Summer,Athina,Shooting,Shooting Women's Double Trap,Gold
100516,Sanya Richards-Ross,F,19.0,173.0,62.0,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
101459,Moushaumi Robinson,F,23.0,170.0,59.0,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
101577,Andrew Rock,M,22.0,185.0,79.0,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
105305,Kaitlin Shea Sandeno (-Hogan),F,21.0,168.0,54.0,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
105332,Cael Norman Sanderson,M,25.0,182.0,84.0,United States,USA,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold
122077,"De'Hashia Tonnek ""DeeDee"" Trotter",F,21.0,178.0,64.0,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
125083,Peter William Vanderkaay,M,20.0,193.0,95.0,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
127216,Dana Whitney Vollmer (-Grant),F,16.0,185.0,68.0,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
128126,Neil Scott Walker,M,28.0,195.0,90.0,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
128704,Andre Ward,M,20.0,185.0,80.0,United States,USA,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Light-Heavyweight,Gold
128724,McLain Ward,M,28.0,176.0,70.0,United States,USA,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
128757,Jeremy Matthew Wariner,M,20.0,188.0,71.0,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 400 metres,Gold
128757,Jeremy Matthew Wariner,M,20.0,188.0,71.0,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
130714,Darold Andre Williamson,M,21.0,187.0,77.0,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
130725,Kelly Jeromy Willie,M,21.0,177.0,72.0,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
131935,Peter Wylde,M,39.0,182.0,74.0,United States,USA,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
133685,Mariel Leigh Zagunis,F,19.0,173.0,72.0,United States,USA,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Women's Sabre, Individual",Gold
